rt_loc,rt_corr_press,colour,location,corr_button,RT_measure_loop.thisRepN,RT_measure_loop.thisTrialN,RT_measure_loop.thisN,RT_measure_loop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,thisRow.t,notes,RT_measure_start.started,RT_measure_start_text.started,RT_startscreen_press.started,RT_measure_start.stopped,RT_startscreen_press.keys,RT_startscreen_press.rt,RT_startscreen_press.duration,RT_measure_fixation.started,rt_measure_fixation.started,RT_measure_fixation.stopped,RT_measure_target.started,RT_target_fig.started,RT_measure_response.started,RT_measure_target.stopped,RT_measure_response.keys,RT_measure_response.corr,RT_measure_response.rt,RT_measure_response.duration,rt_list,rt_measure_fixation.stopped,RT_measure_end.started,RT_measure_endtext.started,RT_measure_endtext.stopped,RT_measure_end.stopped,StartScreen_training.started,StartScreen_ButtonPress_training.started,StartScreen_text_training.started,StartScreen_training.stopped,StartScreen_ButtonPress_training.keys,StartScreen_ButtonPress_training.rt,StartScreen_ButtonPress_training.duration,initial_iti_training.started,initial_iti_fig_training.started,initial_iti_training.stopped,CuePresentation_training.started,CueCircle_training.started,EarlyPressCue_training.started,CuePresentation_training.stopped,EarlyPressCue_training.keys,Fixation2000_training.started,Fixation2000_fig_training.started,EarlyPressFixation_training.started,Fixation2000_fig_training.stopped,EarlyPressFixation_training.stopped,Fixation2000_training.stopped,EarlyPressFixation_training.keys,EarlyPressFixation_training.rt,EarlyPressFixation_training.duration,TargetPresentation_training.started,full_target_time,TargetPresentation_fig_training.started,ButtonPressTarget_training.started,TargetPresentation_training.stopped,ButtonPressTarget_training.keys,ButtonPressTarget_training.corr,ButtonPressTarget_training.rt,ButtonPressTarget_training.duration,outcome_label_training,Blank_screen_training.started,Blank_screen_training.stopped,FeedbackCode_training.started,text_Feedback_training.started,text_treatCounter_training.started,FeedbackCode_training.stopped,ITI500_training.started,trial_ITI_training.started,trial_ITI_training.stopped,ITI500_training.stopped,TargetPresentation_fig_training.stopped,ButtonPressTarget_training.stopped,text_Feedback_training.stopped,text_treatCounter_training.stopped,CueCircle_training.stopped,EarlyPressCue_training.stopped,acc_ratio,EndScreen_training.started,EndScreenText_training.started,endTraining_startMain.started,EndScreen_training.stopped,endTraining_startMain.keys,endTraining_startMain.rt,endTraining_startMain.duration,WelcomeScreen.started,StartScreen_ButtonPress.started,textStartScreen.started,WelcomeScreen.stopped,StartScreen_ButtonPress.keys,StartScreen_ButtonPress.rt,StartScreen_ButtonPress.duration,initial_iti.started,first_ITI_fig.started,initial_iti.stopped,CuePresentation.started,CueCircle.started,EarlyPressCue.started,CuePresentation.stopped,EarlyPressCue.keys,Fixation2000.started,FixationScreen.started,EarlyPressFixation.started,FixationScreen.stopped,EarlyPressFixation.stopped,Fixation2000.stopped,EarlyPressFixation.keys,jitter,TargetPresentation.started,TargetPresentationScreen.started,ButtonPressTarget.started,TargetPresentation.stopped,ButtonPressTarget.keys,ButtonPressTarget.corr,ButtonPressTarget.rt,ButtonPressTarget.duration,outcome_label,Blank_screen.started,Blank_screen.stopped,FeedbackCode.started,text_Feedback.started,text_treatCounter.started,text_Feedback.stopped,text_treatCounter.stopped,FeedbackCode.stopped,ITI500.started,trial_ITI.started,trial_ITI.stopped,ITI500.stopped,Halfway_break.started,Halfway_break.stopped,Halfway_ButtonPress.keys,EarlyPressFixation.rt,EarlyPressFixation.duration,CueCircle.stopped,EarlyPressCue.stopped,TargetPresentationScreen.stopped,ButtonPressTarget.stopped,Halfway_break_text.started,Halfway_ButtonPress.started,Halfway_ButtonPress.rt,Halfway_ButtonPress.duration,EndScreen.started,EndScreenText.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0.45, 0)",right,,,,4,1,9,1,,,,,,,,,29.658087699965108,,,,,,,,,29.644916099961847,29.658087699965108,31.141527200001292,31.141536899958737,31.157890399976168,31.157890399976168,31.65852250001626,right,1,0.4918502999935299,None,"[1.69895859999815, 0.9316449000034481, 0.5131574999541044, 0.42297770001459867, 0.32830450002802536, 0.6223754999809898, 0.5681302999728359, 0.498123699973803, 0.4821354000014253, 0.4918502999935299]",31.157890399976168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65878589998465,31.6747628999874,33.17472109996015,33.15829799999483,33.15830619999906,33.17472109996015,33.17472109996015,37.59129179996671,right,4.41055700002471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,red,"(-0.45, 0)",left,,,,,0,0,0,4,,,,,38.11298909998732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.591312400007155,37.60962649999419,38.094404999981634,38.109284100006334,38.11298909998732,38.11298909998732,38.34649269998772,None,38.346859299985226,38.358343600004446,38.358343600004446,40.35781219997443,40.35781219997443,40.34186899999622,left,1.0116770000313409,None,40.34277350001503,1.034814723007182,40.35781219997443,40.35781219997443,41.12519029999385,left,1,0.75638269999763,None,Early,41.12570079998113,41.126021299976856,41.12603390001459,41.64383859996451,41.64383859996451,43.62747139995918,43.627490199985914,43.6399284999934,44.14020490000257,44.125071799964644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,yellow,"(-0.45, 0)",left,,,,,0,1,1,2,,,,,44.14020490000257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.12526329996763,44.14020490000257,44.14020490000257,44.376489499991294,None,44.37663219997194,44.38980870001251,44.38980870001251,46.139744199987035,46.139744199987035,46.12336159998085,None,,,46.12348569999449,1.034814723007182,46.139744199987035,46.139744199987035,47.17365770001197,None,0,,,Incorrect,47.17382839997299,47.17427179997321,47.174288299982436,47.67661689996021,47.67661689996021,49.65658319997601,49.65660250000656,49.67300060001435,,50.15968659997452,47.1899208999821,47.1899208999821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,red,"(0.45, 0)",right,,,,,0,2,2,5,,,,,50.17297149996739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.159907199966256,50.17297149996739,50.17297149996739,50.407186799973715,None,50.407435500004794,50.423567299963906,50.423567299963906,52.189308399974834,52.189308399974834,52.17281560000265,right,0.22524280002107844,None,52.1730045999866,1.034814723007182,52.189308399974834,52.189308399974834,52.80642039998202,right,1,0.6041759999934584,None,Early,52.80664229998365,52.80676040000981,52.80676529998891,53.30564699997194,53.30564699997194,55.293287899985444,55.29330580000533,55.305681900004856,55.80557349999435,55.78950559999794,,,55.305681900004856,55.305681900004856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,blue,"(0.45, 0)",right,,,,,0,3,3,1,,,,,55.80557349999435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.78973119996954,55.80557349999435,55.80557349999435,56.04120159999002,None,56.04130829998758,56.05861319997348,56.05861319997348,57.80582449998474,57.80582449998474,57.79371379996883,None,,,57.79392119997647,1.034814723007182,57.80582449998474,57.80582449998474,58.523741199984215,right,1,0.7072856000158936,None,Correct,58.52401639998425,58.524210800009314,58.52421999996295,59.03851439995924,59.03851439995924,61.02229739999166,61.02230909996433,61.04184039996471,,61.53832729998976,,,61.04184039996471,61.04184039996471,56.05861319997348,56.05861319997348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,blue,"(-0.45, 0)",left,,,,,0,4,4,0,,,,,61.55851050000638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5385448000161,61.55851050000638,61.55851050000638,61.77519159996882,None,61.77533540001605,61.788384399958886,61.788384399958886,63.54121299996041,63.54121299996041,63.52254410000751,None,,,63.522744000016246,1.034814723007182,63.54121299996041,63.54121299996041,64.05681729997741,left,1,0.49867689999518916,None,Correct,64.05734519998077,64.05787219997728,64.0578908000025,64.57133929996053,64.57133929996053,66.54113600001438,66.54115289996844,66.55481249996228,67.05771699995967,67.03837500000373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,yellow,"(0.45, 0)",right,,,,,0,5,5,3,,,,,67.05771699995967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.03856199997244,67.05771699995967,67.05771699995967,67.304512600007,None,67.30465810000896,67.32110449997708,67.32110449997708,69.57122990000062,69.57122990000062,69.55498010001611,None,,,69.55511949997162,1.084814723007182,69.57122990000062,69.57122990000062,70.15679089998594,right,1,0.572393300011754,None,Correct,70.15730520000216,70.15816170000471,70.15819119999651,70.67181079997681,70.67181079997681,72.65762519999407,72.6576355000143,72.6708651999943,73.17421409999952,73.15459619998,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,blue,"(0.45, 0)",right,,,,,1,0,6,1,,,,,73.17421409999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15481629996793,73.17421409999952,73.17421409999952,73.42065970000112,None,73.42078759998549,73.43709490000037,73.43709490000037,75.44346739997854,75.44346739997854,75.42104290000862,None,,,75.42116339999484,1.1348147230071821,75.44346739997854,75.44346739997854,76.03768189996481,right,1,0.5799398000235669,None,Correct,76.03794199996628,76.0382082000142,76.03821839997545,76.53794879995985,76.53794879995985,78.5211694999598,78.52118959999643,78.54012919997331,,79.03679699997883,,,78.54012919997331,78.54012919997331,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,yellow,"(-0.45, 0)",left,,,,,1,1,7,2,,,,,79.05334479996236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.03698889998486,79.05334479996236,79.05334479996236,79.28683369996725,None,79.28697329998249,79.30684689996997,79.30684689996997,81.3198393000057,81.3198393000057,81.30417099996703,None,,,81.30435769999167,1.114814723007182,81.3198393000057,81.3198393000057,81.77060260000871,left,1,0.44711130001815036,None,Correct,81.77085189998616,81.7710553999641,81.77106140000978,82.26975189999212,82.26975189999212,84.25546879996546,84.25551509996876,84.27531519997865,,84.75717649998842,,,84.27531519997865,84.27531519997865,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,yellow,"(0.45, 0)",right,,,,,1,2,8,3,,,,,84.77034119999735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.75764500000514,84.77034119999735,84.77034119999735,85.00441509997472,None,85.00472669996088,85.02137609996134,85.02137609996134,87.03603590000421,87.03603590000421,87.02314820000902,None,,,87.0232757999911,1.094814723007182,87.03603590000421,87.03603590000421,87.45321149996016,right,1,0.40989840001566336,None,Correct,87.45342139998684,87.45364459999837,87.4536541000125,87.96975439996459,87.96975439996459,89.93952959997114,89.93954699998721,89.95245039998554,90.45254580001347,90.43593719997443,,,,,85.02137609996134,85.02137609996134,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,red,"(0.45, 0)",right,,,,,1,3,9,5,,,,,90.45254580001347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.43613009998808,90.45254580001347,90.45254580001347,90.68582590000005,None,90.6859347000136,90.70197840000037,90.70197840000037,92.45263610000256,92.45263610000256,92.43621670000721,None,,,92.43642569996882,1.074814723007182,92.45263610000256,92.45263610000256,93.08953920000931,right,1,0.6179063999443315,None,Correct,93.08978919999208,93.09001189999981,93.09002209996106,93.60420499998145,93.60420499998145,95.58543949999148,95.58545409998624,95.60189749998972,,96.08893560001161,,,,,90.70197840000037,90.70197840000037,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,red,"(-0.45, 0)",left,,,,,1,4,10,4,,,,,96.10317209997447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.08916579996003,96.10317209997447,96.10317209997447,96.35170800000196,None,96.3518602999975,96.36822770000435,96.36822770000435,98.36900130001595,98.36900130001595,98.3531952999765,None,,,98.35347859998001,1.054814723007182,98.36900130001595,98.36900130001595,99.08778399997391,left,1,0.6999311000108719,None,Correct,99.08802580001066,99.08819699997548,99.08820409997134,99.61260890000267,99.61260890000267,101.58833009999944,101.58834179997211,101.60098160000052,102.10428879997926,102.08749619999435,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,blue,"(-0.45, 0)",left,,,,,1,5,11,0,,,,,102.10428879997926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.08779419999337,102.10428879997926,102.10428879997926,102.35197519999929,None,102.35221109999111,102.36868259997573,102.36868259997573,104.38416429999052,104.38416429999052,104.3710763999843,None,,,104.37120389996562,1.034814723007182,104.38416429999052,104.38416429999052,104.90525969996816,left,1,0.5164280000026338,None,Correct,104.90553399996134,104.90574670000933,104.90575510001509,105.41751339996699,105.41751339996699,107.4015015999903,107.4015197000117,107.41732670000056,107.91730119998101,107.90080870001111,,,107.41732670000056,107.41732670000056,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.90085380000528,107.91730119998101,107.91730119998101,208.39128699997673,s,100.46122420002939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub001,mid,2024-05-15_15h50.11.271,MID_python,2023.2.3,60.11515659604383,2024-05-15 15h50.27.226452 +0200,
